Date,predicted_ret,actual_ret,strategy_ret,cum_strategy,cum_bh
2024-11-13,-0.025443071965628537,-0.013074230192184129,0.013074230192184129,0.013074230192184233,-0.013074230192184122
2024-11-14,-0.039164012141137766,0.01484001737367896,-0.01484001737367896,-0.001959808984694167,0.0015717653782953978
2024-11-15,-0.014667691292722716,0.02625008916470509,-0.02625008916470509,-0.02815845298880526,0.0278631135243268
2024-11-18,-0.016899233852484614,0.012024744561061998,-0.012024744561061998,-0.039844599345442155,0.04022290490819458
2024-11-19,0.009116018325442168,0.0032967032967034216,0.0032967032967034216,-0.0366792518707566,0.04365221118811191
2024-11-20,-0.034435963816298605,-0.018277656078861004,0.018277656078861004,-0.019072006542819264,0.024576695006072846
2024-11-21,0.007574953599184518,0.04100132487274245,0.04100132487274245,0.021147340793686187,0.06658569693505778
2024-11-22,-0.02753059892213541,0.025520798445977644,-0.025520798445977644,-0.004913154674355491,0.09380581553189993
2024-11-25,0.007388218055516512,-0.015284128020901394,-0.015284128020901394,-0.020122189410227587,0.07708794741730385
2024-11-26,-0.011624932676266643,0.01087821703369604,-0.01087821703369604,-0.030781512900326047,0.08880474387368742
2024-11-27,-0.0003052575365183586,0.019947506561679738,-0.019947506561679738,-0.05011500503144817,0.11052368364649579
2024-11-29,-0.006923698541170194,0.055712815234173936,-0.055712815234173936,-0.10303577224984528,0.17239408444666715
2024-12-10,0.0036836797103707336,0.011334552102376683,0.011334552102376683,-0.09286908447644315,0.18568264628134612
2024-12-11,0.0046058969635687005,0.010785731501566594,0.010785731501566594,-0.0830850139848357,0.19847110095020382
2024-12-12,0.006459341136608589,0.011326378539493328,0.011326378539493328,-0.07269968776469382,0.2120454383082091
2024-12-13,0.009223530804293766,0.02074860005894478,0.02074860005894478,-0.05345950445158887,0.23719368436093458
2024-12-16,0.018097375493466152,-0.0008084541202285984,-0.0008084541202285984,-0.054224739015178214,0.23619347002929225
2024-12-17,0.011727861896889078,-0.00236953129515111,-0.00236953129515111,-0.056465783094261535,0.23326427091519641
2024-12-18,0.014191653908783419,0.025605375970339402,0.025605375970339402,-0.03230623472951033,0.26484246624276664
2024-12-19,0.020289075920872007,0.0017510167193854626,0.0017510167193854626,-0.030611786767276605,0.26705722654854647
2024-12-20,0.02184544496333633,0.0019171130532844851,0.0019171130532844851,-0.028753359969988068,0.26948631849682103
2024-12-23,0.009199883213796708,0.009285834880972512,0.009285834880972512,-0.01973452404196996,0.2812745588340362
2024-12-24,0.014319435230898844,0.005799040927846504,0.005799040927846504,-0.014049924426734361,0.28870472244052325
2024-12-26,0.011593912050190017,0.001884909635214566,0.001884909635214566,-0.012191497629445824,0.2911338143887978
2024-12-27,0.010687195053630198,-0.02307436918990697,-0.02307436918990697,-0.03498455570207315,0.2613417160820177
