Date,Close,Volume,Open,High,Low,sentiment_score_mean,bullish_mean,bearish_mean,neutral_mean,sentiment_count
2024-11-11,148.96,12799080.0,152.0,152.5,148.07,0.09773511115211005,0.30975601495682986,0.21202090380471983,0.4782230812384503,10
2024-11-12,145.17,16746650.0,148.4,148.5,143.85,-0.10525647349225047,0.28875314911126015,0.39400962260351063,0.3172372282852291,32
2024-11-13,139.97,21249600.0,145.58,145.58,139.1,-0.21220076608992808,0.25164646609975994,0.46384723218968804,0.28450630171055197,11
2024-11-14,138.14,15646710.0,140.8,141.55,137.22,-0.17066954401010828,0.13648381702090007,0.3071533610310083,0.5563628219480915,12
2024-11-15,140.19,12120100.0,138.14,140.32,137.03,-0.2874736383333787,0.21483513044666436,0.502308768780043,0.28285610077329254,15
2024-11-18,143.87,12259930.0,140.26,144.69,138.2,-0.16155881745106593,0.15694222489550233,0.3185010423465683,0.5245567327579292,20
2024-11-19,145.6,8247289.0,143.0,145.99,142.69,-0.18301103872886565,0.332812145708251,0.5158231844371167,0.15136466985463226,15
2024-11-20,146.08,9232114.0,146.04,147.3,145.02,0.16855094699021567,0.45744059149185223,0.2888896445016366,0.25366976400651103,11
2024-11-21,143.41,7845135.0,146.39,146.42,141.34,-0.16110236263092897,0.2506444966245066,0.4117468592554355,0.33760864412005775,20
2024-11-22,149.29,13353080.0,143.61,150.34,143.49,0.21794257082011176,0.45639407300722556,0.23845150218711375,0.3051544248056606,15
2024-11-25,153.1,11479410.0,150.7,153.28,150.26,-0.11524586250394468,0.3104241727302176,0.4256700352341623,0.26390579203562,10
2024-11-26,150.76,8234985.0,152.5,153.14,149.8,0.216889592363944,0.5107416964016088,0.2938521040376648,0.19540619956072616,6
2024-11-27,152.4,5210147.0,151.11,152.91,150.25,-0.08015114648389096,0.2776100174775791,0.35776116396147,0.3646288185609508,10
2024-11-29,155.44,7100090.0,153.0,157.5,152.85,0.33593155404716235,0.6055598007906141,0.2696282467434519,0.12481195246593382,7
2024-12-10,164.1,17149190.0,160.0,166.68,159.42,0.24170040314612198,0.3896754823919896,0.14797507924586764,0.4623494383621426,10
2024-12-11,165.96,13116630.0,165.52,169.3,164.38,-0.12671306033260835,0.1259502841380853,0.25266334447069366,0.621386371391221,9
2024-12-12,167.75,10617740.0,168.23,168.82,165.65,-0.040847628982903755,0.30920237200838674,0.35005000099129047,0.3407476270003227,18
2024-12-13,169.65,9754901.0,168.0,170.43,166.33,0.09659929778982307,0.3700436391336661,0.273444341343843,0.35651201952249084,18
2024-12-16,173.17,13050710.0,168.09,175.2,166.1,0.2806040936558222,0.41624682844424615,0.13564273478842395,0.44811043676732987,9
