as_of_date,ticker,headline,news_text,source,url
2025-04-28 23:42:00,BA,"Chinese airlines and Boeing severely hit by tariffs, Beijing says",,Finviz,https://finance.yahoo.com/news/china-says-airlines-boeing-severely-034218502.html
2025-04-28 20:00:00,TSLA,Worried About Tesla's Brand Issues? These 3 Words From the Company's First-Quarter Earnings Call Should Put Your Fears to Rest.,,Finviz,/news/37038/worried-about-teslas-brand-issues-these-3-words-from-the-companys-first-quarter-earnings-call-should-put-your-fears-to-rest
2025-04-28 18:57:00,TSLA,"Hedge fund manager Dan Niles says the bar is higher after Alphabet, Tesla results",,Finviz,https://www.youtube.com/watch?v=Sbc1Pi5BKgY
2025-04-28 18:52:00,TSLA,Tesla's Semi factory in Nevada to have first trucks in production by end of 2025,,Finviz,https://finance.yahoo.com/news/teslas-semi-factory-nevada-first-225258071.html
2025-04-28 18:37:00,TSLA,Elon Musk gets more bad news as rival launches the anti-Tesla,,Finviz,https://finance.yahoo.com/m/ebad8cb1-5cdb-359a-8881-bcdc248eaa6c/elon-musk-gets-more-bad-news.html
2025-04-28 18:25:00,BA,Stocks Rise in Final Hour of Wall Street Trading: Markets Wrap,,Finviz,https://finance.yahoo.com/news/asian-investors-eye-china-trade-233327069.html
2025-04-28 18:15:00,BA,S&P removes Boeing's rating from CreditWatch negative on improving aircraft production,,Finviz,https://finance.yahoo.com/news/p-removes-boeings-rating-creditwatch-221531494.html
2025-04-28 18:01:00,TSLA,"Elon Musk Said He'd Give $6 Billion to End World Hunger If the UN Could Explain How  They Did, But He Didn't Give Them a Dime",,Finviz,https://finance.yahoo.com/news/elon-musk-said-hed-6-220133724.html
2025-04-28 17:49:00,BA,Boeing outlook remains negative as S&P cites recovery risks,,Finviz,https://finance.yahoo.com/news/boeing-outlook-remains-negative-p-214915407.html
2025-04-28 17:25:00,TSLA,"Brad Gerstner Says 'No Market' for Tesla (TSLA) If It Doesn't Execute on Pricing, Speed",,Finviz,/news/36845/brad-gerstner-says-no-market-for-tesla-tsla-if-it-doesnt-execute-on-pricing-speed
2025-04-28 17:24:00,TSLA,Elon Musk's Ex-Wives Missed Out on His Billion-Dollar Wealth  Here's Why,,Finviz,https://finance.yahoo.com/news/elon-musks-ex-wives-missed-212439464.html
2025-04-28 16:57:00,BA,"Stocks to Watch Recap: Dominos Pizza, Nvidia, Boeing, Plug Power",,Finviz,https://finance.yahoo.com/m/ec0246fe-5275-30bc-a71d-8ce563ebab62/stocks-to-watch-recap%3A.html
2025-04-28 16:34:00,BA,Boeing Stock Rose Today for 2 Reasons,,Finviz,https://finance.yahoo.com/m/219ef1ad-008d-3045-9de0-cbd71f91d516/boeing-stock-rose-today-for-2.html
2025-04-28 16:27:00,TSLA,Tesla Stock Barely Eked Out a Gain. Why the $300 Level Is Back in Play.,,Finviz,https://finance.yahoo.com/m/7ab2283f-4449-3172-8843-ca0766539a5e/tesla-stock-barely-eked-out-a.html
2025-04-28 16:17:00,BA,"Boeing Stock Climbs On Upgrade, China Jet Offer; Airbus To Buy Spirit AeroSystems Plants",,Finviz,https://finance.yahoo.com/m/d691d10f-1a00-30b8-8e36-2f5bd1e350e9/boeing-stock-climbs-on.html
2025-04-28 16:12:00,TSLA,"These Stocks Moved the Most Today: Tesla, Nvidia, Dominos, Spirit AeroSystems, IBM, MicroStrategy, and More",,Finviz,https://finance.yahoo.com/m/54e6892b-da20-3f60-92d2-c44e213b8a9a/these-stocks-moved-the-most.html
2025-04-28 16:07:00,BA,Boeing Stock Rises as Company Gets Double Dose of Good News,,Finviz,https://www.investopedia.com/boeing-stock-rises-as-company-gets-double-dose-of-good-news-11723347
2025-04-28 15:09:00,BA,"Stocks to Watch Monday: Dominos Pizza, Nvidia, Boeing, Plug Power",,Finviz,https://finance.yahoo.com/m/ec0246fe-5275-30bc-a71d-8ce563ebab62/stocks-to-watch-monday%3A.html
2025-04-28 14:56:00,TSLA,"Musk's DOGE cuts helped his companies avoid over $2B in legal liabilities, new Senate report alleges",,Finviz,https://www.youtube.com/watch?v=Bq4jU7sVE2E
2025-04-28 14:39:00,TSLA,Former Auto Exec Says Tesla (TSLA) Q1 Numbers Had 'Noise' - Q2 Will Be 'Very Telling',,Finviz,/news/36772/former-auto-exec-says-tesla-tsla-q1-numbers-had-noise-q2-will-be-very-telling
2025-04-28 14:13:00,TSLA,"Magnificent Seven Stocks Tumble: Nvidia, Tesla Sell Off",,Finviz,https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks.html
2025-04-28 14:08:00,BA,Riyadh Air Pounces on Boeing's China Jets,,Finviz,https://finance.yahoo.com/news/riyadh-air-pounces-boeings-china-180840791.html
2025-04-28 13:55:00,TSLA,"BYD Is Outperforming Tesla, And Its Stock Should, Too - Reiterating Buy",,Finviz,https://seekingalpha.com/article/4778849-byd-is-outperforming-tesla-and-its-stock-should-too-reiterating-buy?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-28 13:46:00,TSLA,Tesla Lifts Canadian EV Prices More Than 20% After New Tariffs,,Finviz,https://finance.yahoo.com/news/tesla-lifts-canadian-ev-prices-174602054.html
2025-04-28 13:23:00,TSLA,"These Stocks Are Moving the Most Today: Tesla, Nvidia, Dominos, Spirit AeroSystems, IBM, MicroStrategy, and More",,Finviz,https://finance.yahoo.com/m/54e6892b-da20-3f60-92d2-c44e213b8a9a/these-stocks-are-moving-the.html
2025-04-28 13:07:00,TSLA,What To Expect In The April 2025 Job Report On Friday,,Finviz,https://seekingalpha.com/article/4778836-what-to-expect-in-the-april-2025-job-report-on-friday?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-28 12:58:00,BA,"Boeing (BA) Is Upgraded by Bernstein, Well-Known Investor Is Still Bullish on the Name",,Finviz,/news/36709/boeing-ba-is-upgraded-by-bernstein-well-known-investor-is-still-bullish-on-the-name
2025-04-28 12:47:00,TSLA,Tesla Stock Falls. Why the $300 Level Is Back in Play.,,Finviz,https://finance.yahoo.com/m/7ab2283f-4449-3172-8843-ca0766539a5e/tesla-stock-falls.-why-the.html
2025-04-28 12:33:00,TSLA,"Tesla, Inc. (TSLA): A Bull Case Theory",,Finviz,/news/36660/tesla-inc-tsla-a-bull-case-theory
2025-04-28 12:21:00,BA,Why Airbus Stock Popped Today,,Finviz,/news/36655/why-airbus-stock-popped-today
2025-04-28 12:16:00,BA,"Huawei & Nvidia, Plug Power, Airbus buys Spirit Aerosystems plants",,Finviz,https://finance.yahoo.com/video/huawei-nvidia-plug-power-airbus-161621216.html
2025-04-28 11:57:00,BA,"Top Stock Movers Now: Nvidia, Tesla, Boeing, and More",,Finviz,https://finance.yahoo.com/m/cc2058d8-779f-3e10-ae4c-26a5fcc407e3/top-stock-movers-now%3A-nvidia%2C.html
2025-04-28 11:55:00,BA,Turbulence Ahead? Airlines Look To Navigate Uncertain Tourism Outlook,,Finviz,https://seekingalpha.com/article/4778828-turbulence-ahead-airlines-look-to-navigate-uncertain-tourism-outlook?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-28 11:31:00,TSLA,Tesla's Plunge Isn't Close To Being Over,,Finviz,https://seekingalpha.com/article/4778798-tesla-plunge-isnt-close-to-being-over?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-28 11:27:00,TSLA,Anduril Is Aiming to Do to Lockheed What Tesla Did to Ford,,Finviz,https://finance.yahoo.com/m/ec53f9eb-9d11-3bcf-9397-0b3d75ddf557/anduril-is-aiming-to-do-to.html
2025-04-28 11:26:00,BA,"Jim Cramer Says Boeing (BA) a 'Tough' Stock to Own, Recommends 'Other Ways to Play' Aerospace",,Finviz,/news/36628/jim-cramer-says-boeing-ba-a-tough-stock-to-own-recommends-other-ways-to-play-aerospace
2025-04-28 11:24:00,TSLA,"Tesla's ""Moment of Truth""",,Finviz,/news/36622/teslas-moment-of-truth
2025-04-28 11:23:00,TSLA,Analyst Says Tesla (TSLA) 'May Not Have Hit Rock Bottom Yet',,Finviz,/news/36619/analyst-says-tesla-tsla-may-not-have-hit-rock-bottom-yet
2025-04-28 11:20:00,TSLA,"Tesla: Hated And Down, But Not Out",,Finviz,https://seekingalpha.com/article/4778790-tesla-hated-and-down-but-not-out?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-28 11:16:00,TSLA,"Tesla stock, Domino's Q1 earnings, WW International activist stake",,Finviz,https://finance.yahoo.com/video/tesla-stock-dominos-q1-earnings-151624988.html
2025-04-28 11:12:00,TSLA,"Elon Musk's conflicts of interest: $2.37 billion in potential federal penalties, report says",,Finviz,https://finance.yahoo.com/news/elon-musks-conflicts-interest-2-151219813.html
2025-04-28 11:05:00,BA,Airbus is buying some of rival Boeing's old supply chain,,Finviz,https://qz.com/airbus-boeing-spirit-aerosystems-acquisition-1851778098
